DT_GERACAO;HH_GERACAO;ANO_ELEICAO;SG_UF;CD_MUNICIPIO;NM_MUNICIPIO;CD_MUN_SIT_BIOMETRIA;DS_MUN_SIT_BIOMETRIA;NR_ZONA;CD_GENERO;DS_GENERO;CD_ESTADO_CIVIL;DS_ESTADO_CIVIL;CD_FAIXA_ETARIA;DS_FAIXA_ETARIA;CD_GRAU_ESCOLARIDADE;DS_GRAU_ESCOLARIDADE;QT_ELEITORES_PERFIL;QT_ELEITORES_BIOMETRIA;QT_ELEITORES_DEFICIENCIA;QT_ELEITORES_INC_NM_SOCIAL
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;4549;45 a 49 anos                  ;6;ENSINO MÉDIO COMPLETO;471;396;5;1
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;4549;45 a 49 anos                  ;7;SUPERIOR INCOMPLETO;77;50;1;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;4549;45 a 49 anos                  ;8;SUPERIOR COMPLETO;428;396;3;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;5054;50 a 54 anos                  ;1;ANALFABETO;46;32;4;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;5054;50 a 54 anos                  ;2;LÊ E ESCREVE;48;31;3;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;5054;50 a 54 anos                  ;3;ENSINO FUNDAMENTAL INCOMPLETO;332;227;2;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;5054;50 a 54 anos                  ;4;ENSINO FUNDAMENTAL COMPLETO;133;102;0;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;5054;50 a 54 anos                  ;5;ENSINO MÉDIO INCOMPLETO;89;40;0;1
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;5054;50 a 54 anos                  ;6;ENSINO MÉDIO COMPLETO;329;291;4;1
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;5054;50 a 54 anos                  ;7;SUPERIOR INCOMPLETO;57;34;0;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;5054;50 a 54 anos                  ;8;SUPERIOR COMPLETO;268;256;2;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;5559;55 a 59 anos                  ;1;ANALFABETO;40;23;6;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;5559;55 a 59 anos                  ;2;LÊ E ESCREVE;33;21;0;0
